timestamp,ch,ws,wd,temp,rh,pa,sr
2021-01-01 00:00:00,28.4,0.6,114.2,22.7,92.3,944.5,184.1
2021-01-01 00:10:00,0,0.2,74.6,23.1,89.7,944.6,199.9
2021-01-01 00:20:00,0,0,21.9,23.6,87,944.8,275.4
2021-01-01 00:30:00,0,0.4,56.4,24,84.8,944.9,266.8
2021-01-01 00:40:00,0,0.8,73.7,23.9,84.8,945,285.6
2021-01-01 00:50:00,0,0.2,25.8,24.3,82.8,945,316.6
2021-01-01 01:00:00,0,0.4,100,24.5,82.7,944.8,385.3
2021-01-01 01:10:00,0,0.8,76.2,24.9,81.5,944.7,423.9
2021-01-01 01:20:00,0,0.2,22.4,25,79.3,944.8,366.6
2021-01-01 01:30:00,0,0.8,111.3,25.1,80.2,944.9,411.1
2021-01-01 01:40:00,0,0.8,120.6,25.3,78.5,944.7,505.9
2021-01-01 01:50:00,0,0.7,147,25.4,78.6,944.7,477.5
2021-01-01 02:00:00,0,1.1,115,25.5,77.4,944.5,373.9
2021-01-01 02:10:00,0,0.6,106.8,25.5,76.2,944.5,395.6
2021-01-01 02:20:00,0,1,91.7,25.7,76.3,944.3,418.1
2021-01-01 02:30:00,0,2,138.2,26.1,78.4,944.2,967.1
2021-01-01 02:40:00,0,1.4,136.9,26.1,75.8,944.2,850.2
2021-01-01 02:50:00,0,1.5,161.6,26,77.3,944.1,519.4
2021-01-01 03:00:00,0,1.2,64.4,26.3,74.4,944.1,767.8
2021-01-01 03:10:00,0,1,125.4,26.7,72.1,944.1,652.2
2021-01-01 03:20:00,0,1.1,180.5,26.7,72.6,943.9,627.9
2021-01-01 03:30:00,0,1.7,104.6,27.2,72.3,943.9,681.3
2021-01-01 04:00:00,0,1.7,148.3,27.8,68.4,943.5,1008.1
2021-01-01 04:10:00,0,0,0,0,0,0,0
2021-01-01 04:20:00,0,2.3,137.4,28.1,69,943.3,1007.7
2021-01-01 04:30:00,0,1.7,145.7,28.2,68.1,943.3,1023.2
2021-01-01 04:40:00,0,1.2,84.7,28.4,66.1,943.2,755.9
2021-01-01 04:50:00,0,1.2,104.2,27.7,66.6,943.1,199.2
2021-01-01 05:00:00,0,1.5,318.2,26.8,73.6,943.1,38
2021-01-01 05:10:00,8,1.7,261.3,24.6,87.9,943.1,32.4
2021-01-01 05:20:00,12.4,1.2,241.8,22.9,93.9,943.1,54.8
2021-01-01 05:30:00,14.4,1.6,225.5,22.5,94.2,943,83.9
2021-01-01 05:40:00,14.4,1,184.3,22.6,93.3,942.7,118.2
2021-01-01 05:50:00,14.4,0.8,106,22.8,91.6,942.7,123
2021-01-01 06:00:00,14.4,0,11.2,23,91.2,942.5,112.8
2021-01-01 06:10:00,14.4,0.6,135,23.1,91.5,942.7,92.8
2021-01-01 06:20:00,14.4,0.3,70.1,23.1,92.4,942.6,72.9
2021-01-01 06:30:00,14.4,0.2,25.7,23.2,91.9,942.3,59
2021-01-01 06:40:00,14.4,1.7,83.5,23.3,90.2,942.4,55.7
2021-01-01 06:50:00,14.4,1.1,63.6,23.1,93.3,942.3,52
2021-01-01 07:00:00,14.4,0.2,75.1,22.8,93.4,942.1,55.5
2021-01-01 07:10:00,14.4,0.3,42.4,23,93.4,942,47.2
2021-01-01 07:20:00,14.4,0.3,12.3,23.2,93,942.1,46.9
2021-01-01 07:30:00,14.4,0.2,45.3,23.3,92.5,942.3,31
2021-01-01 07:40:00,14.4,0.8,121,23.2,93,942.3,29.8
2021-01-01 07:50:00,14.4,0.2,14.5,23.1,93.1,942.1,50.7
2021-01-01 08:00:00,14.4,0,342.3,23.1,93.8,942,55.5
2021-01-01 08:10:00,14.6,0.5,4,23.1,94.4,942,55.7
2021-01-01 08:20:00,14.6,0.1,301,23.1,94.2,942.1,51.7
2021-01-01 08:30:00,14.6,0.4,168.8,23.1,92.9,942,57
2021-01-01 08:40:00,14.6,0.1,36.5,23.2,92.7,942.1,47.7
2021-01-01 08:50:00,14.6,0.5,140.7,23.1,93.7,942.2,22
2021-01-01 09:00:00,14.6,0,28.4,23.2,93.9,942.5,18.4
2021-01-01 09:10:00,14.6,0.4,130,23.1,91.9,942.6,12
2021-01-01 09:20:00,14.8,1.2,119.5,23.2,94,942.8,7
2021-01-01 09:30:00,14.8,1.7,140.5,22.6,94.6,942.8,0.2
2021-01-01 09:40:00,15.2,1,144,22.3,96.1,942.9,0.3
2021-01-01 09:50:00,15.2,0.9,139.8,22.3,96.3,943,0.2
2021-01-01 10:00:00,15.4,0.8,147.5,22.3,96.4,943.1,0.1
2021-01-01 10:10:00,15.4,1.1,160.1,22.3,96.3,943.2,0.1
2021-01-01 10:20:00,16.6,1.5,184.9,22.3,96,943.3,0
2021-01-01 10:30:00,18.4,1.3,145.4,22.2,95.8,943.3,0.1
2021-01-01 10:40:00,19.4,0.8,117.8,22.2,96.1,943.3,0
2021-01-01 10:50:00,20,0.1,56.8,22.1,96.4,943.3,0
2021-01-01 11:20:00,21,0.3,327.1,22.1,97.2,943.3,0
2021-01-01 11:30:00,21.2,0.4,339.5,22.1,97.2,943.3,0
2021-01-01 11:40:00,21.2,0.3,336.4,22.1,97.2,943.3,0
2021-01-01 11:50:00,21.6,0.4,344.1,22.1,97,943.4,0
2021-01-01 12:00:00,21.6,0,0,22.1,97,943.5,0
2021-01-01 12:10:00,21.6,0,327.6,22.2,97.1,943.6,0
2021-01-01 12:20:00,21.6,0,318.8,22.2,97,943.7,0
2021-01-01 12:30:00,21.6,0,0,22.3,96.9,943.9,0
2021-01-01 12:40:00,21.6,0,0,22.3,96.8,944.1,0
2021-01-01 12:50:00,21.6,0,0,22.3,96.8,944.3,0
2021-01-01 13:00:00,21.6,0,0,22.3,97,944.4,0
2021-01-01 13:10:00,21.6,0,0,22.3,97.2,944.4,0
2021-01-01 13:20:00,21.6,0,0,22.4,97.2,944.3,0
2021-01-01 13:30:00,21.6,0,0,22.4,97,944.3,0
2021-01-01 13:40:00,21.6,0,9.1,22.4,97,944.3,0
2021-01-01 13:50:00,21.6,0.9,99.7,22.4,97.2,944.3,0
2021-01-01 14:00:00,21.6,0.9,87.6,22.4,97.2,944.3,0
2021-01-01 14:10:00,21.6,0.9,77.1,22.3,97.3,944.2,0
2021-01-01 14:20:00,21.6,0,0,22.3,97.3,944.2,0
2021-01-01 14:30:00,21.6,0,0,22.3,97.2,944.2,0
2021-01-01 14:40:00,21.6,0,0,22.2,97.1,944.1,0
2021-01-01 14:50:00,21.6,0,0,22.3,97.1,944.2,0
2021-01-01 15:00:00,21.6,0,0,22.2,96.8,944.3,0
2021-01-01 15:10:00,21.6,0,11.6,22.3,96.9,944.4,0
2021-01-01 15:20:00,21.6,0,0,22.3,96.8,944.3,0
2021-01-01 15:30:00,21.6,0.6,67.7,22.3,96.7,944.4,0
2021-01-01 15:40:00,21.6,0.4,45.9,22.4,96.9,944.2,0
2021-01-01 15:50:00,21.6,0,0,22.4,96.9,944.2,0
2021-01-01 16:00:00,21.6,0.4,0.4,22.4,96.9,944.1,0
2021-01-01 16:10:00,21.6,0.2,4.3,22.4,96.8,944,0
2021-01-01 16:20:00,21.6,0,7.3,22.4,96.8,943.9,0
2021-01-01 16:30:00,21.6,0,0,22.4,96.8,943.9,0
2021-01-01 16:40:00,21.6,0.1,10.3,22.4,96.7,943.9,0
2021-01-01 16:50:00,21.6,0.9,61.6,22.3,96.4,943.9,0
2021-01-01 17:00:00,21.6,0.9,74,22.3,96.1,943.9,0
2021-01-01 17:10:00,0,0,0,0,0,0,0
2021-01-01 17:20:00,21.6,0,21.9,22.4,96.3,943.6,0
2021-01-01 17:30:00,21.6,0,0,22.3,96.7,943.4,0
2021-01-01 17:40:00,21.6,0,0,22.3,97,943.3,0
2021-01-01 17:50:00,21.6,0,0,22.3,97.2,943.3,0
2021-01-01 18:00:00,21.6,0,0,22.3,97.1,943.2,0
2021-01-01 18:10:00,21.6,0,0,22.3,97,943.3,0
2021-01-01 18:20:00,21.6,0,0,22.3,97.1,943.3,0
2021-01-01 18:30:00,21.6,0,0,22.4,97.2,943.2,0
2021-01-01 18:40:00,21.6,0.1,341.3,22.3,97.2,943,0
2021-01-01 18:50:00,21.6,0.3,293.6,22.3,97.4,942.9,0
2021-01-01 19:00:00,21.6,0,0,22.2,97.4,942.9,0
2021-01-01 19:10:00,21.6,0,0,22.3,97.3,942.9,0
2021-01-01 19:20:00,21.6,0,0,22.3,97.3,942.8,0
2021-01-01 19:30:00,21.6,0,0,22.3,97.2,942.8,0
2021-01-01 19:40:00,21.6,0,0,22.3,97.3,942.9,0
2021-01-01 19:50:00,21.6,0.1,61.6,22.3,97.3,942.9,0
2021-01-01 20:00:00,21.6,0,0,22.4,97.4,942.8,0
2021-01-01 20:10:00,21.6,0,355.7,22.3,97.6,942.8,0
2021-01-01 20:20:00,21.6,0.3,313.6,22.3,97.6,942.8,0
2021-01-01 20:30:00,21.6,0,355.8,22.3,97.5,942.9,0
2021-01-01 20:40:00,21.6,0,0,22.3,97.2,943.1,0
2021-01-01 20:50:00,21.6,0,0,22.3,97,943,0
2021-01-01 21:00:00,21.6,0,0,22.3,96.9,942.8,0
2021-01-01 21:10:00,21.6,0,0,22.3,96.8,942.9,0
2021-01-01 21:20:00,21.6,0.6,69.2,22.3,96.5,943.1,0
2021-01-01 21:30:00,21.6,0.5,77.9,22.3,96.7,943.3,0
2021-01-01 21:40:00,21.6,0.2,43,22.3,97,943.3,0
2021-01-01 21:50:00,21.6,0,0,22.3,97.1,943.3,0
2021-01-01 22:20:00,21.6,0.2,330.6,22.2,97.3,943.6,0
2021-01-01 22:30:00,21.6,0,0,22.2,97.3,943.7,0.4
2021-01-01 22:40:00,21.6,0,0,22.2,97.2,943.7,8.6
2021-01-01 22:50:00,21.6,0,0,22.2,97,943.9,17
2021-01-01 23:20:00,21.6,0,0,22.6,94.4,944.2,62.1
2021-01-01 23:30:00,21.6,0.5,55.8,22.7,92.7,944.2,54.9
2021-01-01 23:40:00,21.6,0.7,79.7,22.8,92,944.4,56.9
2021-01-01 23:50:00,21.6,0.8,78.3,22.8,92.6,944.4,49.7
2021-01-02 00:00:00,21.6,0.9,73.5,22.8,92.8,944.6,52.4
2021-01-02 00:10:00,0,0.7,82,22.8,93.7,944.8,36.7
2021-01-02 00:20:00,0,0.9,90.2,22.8,94.4,945,38
2021-01-02 00:30:00,0,1.2,110.6,22.7,94.3,945.1,49.3
2021-01-02 00:40:00,0,1.3,126.1,22.4,95.1,945.1,71.2
2021-01-02 00:50:00,0,0.9,130,22.4,95.9,945.1,92.2
2021-01-02 01:00:00,0,0.7,126.4,22.5,95.5,945.1,111.3
2021-01-02 01:10:00,0,0.6,149.9,22.6,93.7,945.1,141.4
2021-01-02 01:20:00,0,0.6,126.2,22.9,92.7,944.9,210.9
2021-01-02 01:30:00,0.2,0.3,115,23.3,89.9,945,244.3
2021-01-02 01:40:00,0.2,0.3,338,24,85.8,944.9,395.6
2021-01-02 01:50:00,0.2,0.4,100.5,24.7,81.9,944.9,477.6
2021-01-02 02:00:00,0.2,1.1,129.5,24.6,83.2,944.9,364.4
2021-01-02 02:10:00,0.2,1.2,116.7,24.9,85,944.8,659.1
2021-01-02 02:20:00,0.2,1.5,117.4,25.6,77.6,944.6,844.3
2021-01-02 02:30:00,0.2,1.6,125.4,25.7,76.6,944.6,663.5
2021-01-02 03:00:00,0.2,2.5,111,25.6,79.3,944.3,539.2
2021-01-02 03:10:00,0.2,2.1,126.8,25.7,78.3,944.3,575.9
2021-01-02 03:20:00,0.2,2.5,146.1,25.8,77.2,944.3,754.7
2021-01-02 03:30:00,0.2,2,120.6,26.3,74.9,944.1,796.9
2021-01-02 04:00:00,0.2,1.6,129.8,25.9,77.2,943.8,332
2021-01-02 04:10:00,0.2,1.5,179,26,74.6,943.6,330.7
2021-01-02 04:20:00,0.2,1.8,141.7,25.9,76.6,943.6,334.5
2021-01-02 04:30:00,0.2,1.7,116.9,26.1,76.4,943.5,359.1
2021-01-02 04:40:00,0.2,2.3,105.1,26.4,75,943.3,509.9
2021-01-02 04:50:00,0.2,1.7,128.1,26.6,74.1,943.3,514.9
2021-01-02 05:00:00,0.2,2.1,107.7,26.5,74.1,943.3,380.6
2021-01-02 05:10:00,0.2,2.5,114.8,26.3,74.1,943.1,283
